plant,storage,subgroup
2120,2030.0,POV
2120,2030.0,SOS
2120,2030.0,POP
1920,2030.0,ATN
1911,1130.0,ATN
1911,1130.0,MAR
1911,1130.0,SE
2111,1130.0,SOS
1921,2130.0,AT
1921,2130.0,ATN
2121,2130.0,SOS
1920,2030.0,SE
1920,2030.0,MAR
1917,1730.0,ATN
2117,1730.0,SOS
2114,1430.0,SOS
2119,1930.0,SOS
2121,2130.0,POPF
1920,2030.0,ATWWP
2119,1930.0,POP
1916,1630.0,ATN
1916,1630.0,SE
1921,2130.0,SE
2114,1430.0,POV
2116,1630.0,SOS
2116,1630.0,POP
2121,2130.0,POP
1918,1830.0,ATN
2118,1830.0,POV
2117,1730.0,POP
2119,1930.0,POV
2112,1230.0,SOS
1917,1730.0,ATWWP
2112,1230.0,POP
2116,1630.0,POV
1916,1630.0,AT
1919,1930.0,ATN
2118,1830.0,SOS
1915,1530.0,ATN
1915,1530.0,MAR
1920,2030.0,AT
2115,1530.0,SOS
2115,1530.0,POP
1912,1230.0,SE
1912,1230.0,ATN
1918,1830.0,MAR
1919,1930.0,MAR
1915,1530.0,ATWWP
1919,1930.0,SE
2103,330.0,SOS
1919,1930.0,MAHS
2117,1730.0,POV
2112,1230.0,POV
1915,1530.0,AT
2115,1530.0,POV
1921,2130.0,MAR
2121,2130.0,POV
1922,2230.0,ATN
1922,2230.0,AT
1922,2230.0,SE
2122,2230.0,SOS
2122,2230.0,POV
1914,1430.0,MAR
2118,1830.0,POP
1918,1830.0,SE
2118,1830.0,POPF
1922,2230.0,MAR
1912,1230.0,AT
1912,1230.0,MAR
1921,2130.0,ATWWP
1903,330.0,AT
2114,1430.0,POP
2121,2130.0,SOP
2115,1530.0,SOP
2103,330.0,POV
1914,1430.0,ATN
1914,1430.0,AT
1903,330.0,ATN
1903,330.0,MAR
1903,330.0,SE
2103,330.0,POP
1915,1530.0,SE
2111,1130.0,POP
1918,1830.0,ATWWP
2111,1130.0,POV
1914,1430.0,ATWWP
2122,2230.0,POP
1911,1130.0,ATWWP
2103,330.0,POPF
2117,1730.0,SOP
2115,1530.0,POPF
1914,1430.0,MASR
1917,1730.0,SE
1922,2230.0,MAHS
1917,1730.0,MAR
1917,1730.0,AT
1911,1130.0,MASR
1912,1230.0,ATWWP
1916,1630.0,MAR
1903,330.0,MASR
1918,1830.0,AT
2103,330.0,SOP
1914,1430.0,SE
1912,1230.0,MASR
1901,130.0,ATWWP
1901,130.0,ATN
1920,2030.0,MASR
1911,1130.0,AT
2111,1130.0,SOP
1914,1430.0,MAHS
1920,2030.0,MAHS
1919,1930.0,AT
1919,1930.0,MASR
2114,1430.0,SOP
2119,1930.0,SO
2114,1430.0,SO
1920,2030.0,ATPPCH
1911,1130.0,ATPA
1915,1530.0,MAPA
1911,1130.0,MAP
1915,1530.0,MAC
2120,2030.0,EEA
1920,1130.0,EEA
