Date,week,SKU,SKU_norm,Group,Subgroup,metric,units,weight
2023-01-01,2022-12-27,AT5X5K,AT5X5K,A,AT,prod,1500.0,37.5
2023-01-01,2022-12-27,ATN01K24P,ATN01K24P,A,ATN,prod,3500.0,84.0
2023-01-01,2022-12-27,ATN02K12P,ATN02K12P,A,ATN,prod,200.0,4.8
2023-01-01,2022-12-27,ATPA1K24P,ATPA1K24P,A,ATPA,prod,0.0,0.0
2023-01-01,2022-12-27,ATPPCH5X5K,ATPPCH5X5K,A,ATPPCH,prod,0.0,0.0
2023-01-01,2022-12-27,ATWWP001K24P,ATWWP001K24P,A,ATWWP,prod,0.0,0.0
2023-01-01,2022-12-27,ATWWP002K12P,ATWWP002K12P,A,ATWWP,prod,0.0,0.0
2023-01-01,2022-12-27,EEA200G24P,EEA200G24P,E,EEA,prod,0.0,0.0
2023-01-01,2022-12-27,EEA500G12P,EEA500G12P,E,EEA,prod,0.0,0.0
2023-01-01,2022-12-27,MAC1K25P,MAC1K25P,M,MAC,prod,0.0,0.0
2023-01-01,2022-12-27,MAHS025K,MAHS025K,M,MAHS,prod,48.0,1.2
2023-01-01,2022-12-27,MAP1K25P,MAP1K25P,M,MAP,prod,0.0,0.0
2023-01-01,2022-12-27,MAPA1K24P,MAPA1K24P,M,MAPA,prod,0.0,0.0
2023-01-01,2022-12-27,MAR01K24P,MAR01K24P,M,MAR,prod,100.0,2.4
2023-01-01,2022-12-27,MAR02K12P,MAR02K12P,M,MAR,prod,100.0,2.4
2023-01-01,2022-12-27,MASR025K,MASR025K,M,MASR,prod,0.0,0.0
2023-01-01,2022-12-27,POP001L12P,POP001L12P,P,POP,prod,506.0,5.525519999999999
2023-01-01,2022-12-27,POP001L12P.1,POP001L12P,P,POP,prod,0.0,0.0
2023-01-01,2022-12-27,POP002L09P,POP002L09P,P,POP,prod,0.0,0.0
2023-01-01,2022-12-27,POP005L04P,POP005L04P,P,POP,prod,0.0,0.0
2023-01-01,2022-12-27,POP015K,POP015K,P,POP,prod,0.0,0.0
2023-01-01,2022-12-27,POP500M24P,POP500M24P,P,POP,prod,0.0,0.0
2023-01-01,2022-12-27,POPF01L12P,POPF01L12P,P,POPF,prod,200.0,2.184
2023-01-01,2022-12-27,POV001L24P,POV001L24P,P,POV,prod,201.0,2.19492
2023-01-01,2022-12-27,POV002L09P,POV002L09P,P,POV,prod,0.0,0.0
2023-01-01,2022-12-27,POV005L04P,POV005L04P,P,POV,prod,0.0,0.0
2023-01-01,2022-12-27,POV500M24P,POV500M24P,P,POV,prod,205.0,2.2386
2023-01-01,2022-12-27,SE200G24P,SE200G24P,S,SE,prod,0.0,0.0
2023-01-01,2022-12-27,SE500G24P,SE500G24P,S,SE,prod,1000.0,6.0
2023-01-01,2022-12-27,SO0001L12P,SO0001L12P,S,SO,prod,0.0,0.0
2023-01-01,2022-12-27,SO0002L09P,SO0002L09P,S,SO,prod,0.0,0.0
2023-01-01,2022-12-27,SO0005L04P,SO0005L04P,S,SO,prod,0.0,0.0
2023-01-01,2022-12-27,SO0500M24P,SO0500M24P,S,SO,prod,0.0,0.0
2023-01-01,2022-12-27,SOP001L12P,SOP001L12P,S,SOP,prod,0.0,0.0
2023-01-01,2022-12-27,SOS001L12P,SOS001L12P,S,SOS,prod,4016.0,44.33664000000001
2023-01-01,2022-12-27,SOS002L09P,SOS002L09P,S,SOS,prod,2034.0,33.68304000000001
