Plant,Storage Location,Subgroup,Group,SKU_norm
2120,2030.0,POV,P,POV002L09P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,POP,P,POP002L09P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POP,P,POP001L12P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,SOS,S,SOS005L04P
2120,2030.0,POP,P,POP500M24P
1920,2030.0,ATN,A,ATN01K24P
1911,1130.0,ATN,A,ATN02K12P
1911,1130.0,ATN,A,ATN01K24P
1911,1130.0,MAR,M,MAR02K12P
1911,1130.0,MAR,M,MAR01K24P
1911,1130.0,SE,S,SE500G24P
2111,1130.0,SOS,S,SOS001L12P
2111,1130.0,SOS,S,SOS500M24P
2111,1130.0,SOS,S,SOS001L12P
2111,1130.0,SOS,S,SOS005L04P
2120,2030.0,SOS,S,SOS008L02P
2120,2030.0,SOS,S,SOS005L04P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,POV,P,POV500M24P
2120,2030.0,POV,P,POV500M24P
2120,2030.0,POV,P,POV500M24P
1921,2130.0,AT,A,AT5X5K
1921,2130.0,ATN,A,ATN01K24P
1921,2130.0,ATN,A,ATN01K24P
1921,2130.0,ATN,A,ATN01K24P
2121,2130.0,SOS,S,SOS005L04P
1920,2030.0,ATN,A,ATN01K24P
1920,2030.0,SE,S,SE500G24P
1920,2030.0,MAR,M,MAR01K24P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,POV,P,POV002L09P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,POV,P,POV500M24P
2120,2030.0,SOS,S,SOS005L04P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,POV,P,POV002L09P
1917,1730.0,ATN,A,ATN01K24P
2117,1730.0,SOS,S,SOS001L12P
1920,2030.0,SE,S,SE200G24P
1920,2030.0,ATN,A,ATN01K24P
2114,1430.0,SOS,S,SOS008L02P
1920,2030.0,SE,S,SE200G24P
2119,1930.0,SOS,S,SOS002L09P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,SOS,S,SOS002L09P
1921,2130.0,ATN,A,ATN01K24P
2121,2130.0,POPF,P,POPF01L12P
2121,2130.0,POPF,P,POPF01L12P
2121,2130.0,POPF,P,POPF01L12P
2121,2130.0,POPF,P,POPF01L12P
2121,2130.0,SOS,S,SOS005L04P
2121,2130.0,SOS,S,SOS005L04P
2121,2130.0,SOS,S,SOS005L04P
1920,2030.0,ATN,A,ATN01K24P
1920,2030.0,ATN,A,ATN01K24P
1920,2030.0,ATWWP,A,ATWWP001K24P
1920,2030.0,ATN,A,ATN01K24P
1920,2030.0,ATN,A,ATN01K24P
2119,1930.0,SOS,S,SOS005L04P
2119,1930.0,SOS,S,SOS001L12P
2119,1930.0,SOS,S,SOS500M24P
2119,1930.0,POP,P,POP500M24P
2120,2030.0,POP,P,POP500M24P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,SOS,S,SOS002L09P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,SOS,S,SOS005L04P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,SOS,S,SOS001L12P
2120,2030.0,POV,P,POV001L24P
2120,2030.0,SOS,S,SOS005L04P
2120,2030.0,SOS,S,SOS001L12P
1916,1630.0,ATN,A,ATN01K24P
2114,1430.0,SOS,S,SOS005L04P
2114,1430.0,SOS,S,SOS500M24P
1916,1630.0,SE,S,SE500G24P
1916,1630.0,ATN,A,ATN01K24P
1921,2130.0,SE,S,SE500G24P
2114,1430.0,POV,P,POV001L24P
2116,1630.0,SOS,S,SOS005L04P
2116,1630.0,SOS,S,SOS001L12P
