plant,subgroup,units
1901,ATN,1767.0360426282055
1901,ATWWP,27.532431458333335
1914,AT,485.1993770833333
1914,ATN,1767.0360426282055
1914,ATWWP,27.532431458333335
1914,MAHS,75.55455096875001
1914,MAR,334.3260302083333
1914,MASR,135.78490725
1914,POP,1304.3776364583334
1914,POV,2250.572072916667
1914,SE,193.29191093750003
1914,SOP,52.39492848729168
1914,SOS,15321.678531099036
1915,AT,485.1993770833333
1915,ATN,1767.0360426282055
1915,ATWWP,27.532431458333335
1915,MAC,75.29946749999999
1915,MAR,334.3260302083333
1915,POP,1304.3776364583334
1915,POPF,118.362545375
1915,POV,2250.572072916667
1915,SE,193.29191093750003
1915,SOP,52.39492848729168
1915,SOS,15321.678531099036
1917,AT,485.1993770833333
1917,ATN,1767.0360426282055
1917,ATWWP,27.532431458333335
1917,MAR,334.3260302083333
1917,POP,1304.3776364583334
1917,POV,2250.572072916667
1917,SE,193.29191093750003
1917,SOP,52.39492848729168
1917,SOS,15321.678531099036
1918,AT,485.1993770833333
1918,ATN,1767.0360426282055
1918,ATWWP,27.532431458333335
1918,MAR,334.3260302083333
1918,POP,1304.3776364583334
1918,POPF,118.362545375
1918,POV,2250.572072916667
1918,SE,193.29191093750003
1918,SOS,15321.678531099036
1919,AT,485.1993770833333
1919,ATN,1767.0360426282055
1919,MAHS,75.55455096875001
1919,MAR,334.3260302083333
1919,MASR,135.78490725
1919,POP,1304.3776364583334
1919,POV,2250.572072916667
1919,SE,193.29191093750003
1919,SOS,15321.678531099036
1920,AT,970.3987541666665
1920,ATN,3534.072085256411
1920,ATWWP,55.06486291666667
1920,MAHS,75.55455096875001
1920,MAR,668.6520604166666
1920,MASR,271.5698145
1920,POP,2608.755272916667
1920,POV,4501.144145833334
1920,SE,386.58382187500007
1920,SOP,52.39492848729168
1920,SOS,30643.357062198073
1921,AT,485.1993770833333
1921,ATN,1767.0360426282055
1921,ATWWP,27.532431458333335
1921,MAR,334.3260302083333
1921,POP,1304.3776364583334
1921,POPF,118.362545375
1921,POV,2250.572072916667
1921,SE,193.29191093750003
1921,SOP,52.39492848729168
1921,SOS,15321.678531099036
1922,AT,485.1993770833333
1922,ATN,1767.0360426282055
1922,MAHS,75.55455096875001
1922,MAR,334.3260302083333
1922,POP,1304.3776364583334
1922,POV,2250.572072916667
1922,SE,193.29191093750003
1922,SOS,15321.678531099036
2103,AT,485.1993770833333
2103,ATN,1767.0360426282055
2103,MAR,334.3260302083333
2103,MASR,135.78490725
2103,POP,1304.3776364583334
2103,POPF,118.362545375
2103,POV,2250.572072916667
2103,SE,193.29191093750003
2103,SOP,52.39492848729168
2103,SOS,15321.678531099036
2112,AT,485.1993770833333
2112,ATN,1767.0360426282055
2112,ATWWP,27.532431458333335
2112,MAR,334.3260302083333
2112,MASR,135.78490725
2112,POP,1304.3776364583334
2112,POV,2250.572072916667
2112,SE,193.29191093750003
2112,SOS,15321.678531099036
2116,AT,485.1993770833333
2116,ATN,1767.0360426282055
2116,MAR,334.3260302083333
2116,POP,1304.3776364583334
2116,POV,2250.572072916667
2116,SE,193.29191093750003
2116,SOS,15321.678531099036
